State,Year,TimeInterval,name,Unit,Measure,Value
AK,2005,Annual,Alaska,Rate per 100 Population,Opioid Prescription,
AK,2006,Annual,Alaska,Rate per 100 Population,Opioid Prescription,63.4
AK,2007,Annual,Alaska,Rate per 100 Population,Opioid Prescription,66.6
AK,2008,Annual,Alaska,Rate per 100 Population,Opioid Prescription,68.5
AK,2009,Annual,Alaska,Rate per 100 Population,Opioid Prescription,67.3
AK,2010,Annual,Alaska,Rate per 100 Population,Opioid Prescription,68.4
AK,2011,Annual,Alaska,Rate per 100 Population,Opioid Prescription,68
AK,2012,Annual,Alaska,Rate per 100 Population,Opioid Prescription,66.8
AK,2013,Annual,Alaska,Rate per 100 Population,Opioid Prescription,63.7
AK,2014,Annual,Alaska,Rate per 100 Population,Opioid Prescription,62.7
AK,2015,Annual,Alaska,Rate per 100 Population,Opioid Prescription,60.8
AK,2016,Annual,Alaska,Rate per 100 Population,Opioid Prescription,58.9
AK,2017,Annual,Alaska,Rate per 100 Population,Opioid Prescription,52
AK,2018,Annual,Alaska,Rate per 100 Population,Opioid Prescription,44.9
AL,2005,Annual,Alabama,Rate per 100 Population,Opioid Prescription,
AL,2006,Annual,Alabama,Rate per 100 Population,Opioid Prescription,115.6
AL,2007,Annual,Alabama,Rate per 100 Population,Opioid Prescription,120.3
AL,2008,Annual,Alabama,Rate per 100 Population,Opioid Prescription,126.1
AL,2009,Annual,Alabama,Rate per 100 Population,Opioid Prescription,131.6
AL,2010,Annual,Alabama,Rate per 100 Population,Opioid Prescription,134.3
AL,2011,Annual,Alabama,Rate per 100 Population,Opioid Prescription,136.6
AL,2012,Annual,Alabama,Rate per 100 Population,Opioid Prescription,143.8
AL,2013,Annual,Alabama,Rate per 100 Population,Opioid Prescription,142.4
AL,2014,Annual,Alabama,Rate per 100 Population,Opioid Prescription,135.2
AL,2015,Annual,Alabama,Rate per 100 Population,Opioid Prescription,125
AL,2016,Annual,Alabama,Rate per 100 Population,Opioid Prescription,121
AL,2017,Annual,Alabama,Rate per 100 Population,Opioid Prescription,107.2
AL,2018,Annual,Alabama,Rate per 100 Population,Opioid Prescription,97.5
AR,2005,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,
AR,2006,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,98.3
AR,2007,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,108.2
AR,2008,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,112.1
AR,2009,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,116
AR,2010,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,120.8
AR,2011,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,115.2
AR,2012,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,121.8
AR,2013,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,120.9
AR,2014,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,123.2
AR,2015,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,117.2
AR,2016,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,114.6
AR,2017,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,105.4
AR,2018,Annual,Arkansas,Rate per 100 Population,Opioid Prescription,93.5
