Location,NaturalandSemisyntheticOpioids,SyntheticOpioids,Methadone,Heroin,abbr
Alabama,126,147,32,137,AL
Alaska,34,18,70.7619047619048,29,AK
Arizona,311,522,62,352,AZ
Arkansas,108,92,16,19,AR
California,910,865,234,778,CA
Colorado,222,134,55,233,CO
Connecticut,161,767,76,338,CT
Delaware,62,296,24,143,DE
District of Columbia,32,162,10,79,FL
Florida,1150,2091,187,689,DC
Georgia,395,349,84,299,GA
Hawaii,27,14,70.7619047619048,16,HI
Idaho,68,28,10,29,ID
Illinois,407,1568,155,1050,IL
Indiana,323,713,55,311,IN
Iowa,54,80,10,37,IA
Kansas,73,50,14,33,KS
Kentucky,290,744,37,140,KY
Louisiana,135,216,16,167,LA
Maine,56,229,18,71,ME
Maryland,425,1825,187,356,MD
Massachusetts,253,1806,88,475,MA
Michigan,442,1531,134,633,MI
Minnesota,105,202,44,93,MN
Mississippi,85,72,12,39,MS
Missouri,231,868,40,351,MO
Montana,23,11,70.7619047619048,22,MT
Nebraska,37,26,70.7619047619048,318.553191489362,NE
Nevada,212,85,33,108,NV
New Hampshire,34,386,70.7619047619048,12,NH
New Jersey,412,2219,122,1287,NJ
New Mexico,133,105,52,130,NM
New York,781,2195,266,1243,NY
North Carolina,422,1272,76,619,NC
North Dakota,20,626.54,70.7619047619048,318.553191489362,ND
Ohio,507,2783,71,721,OH
Oklahoma,154,79,21,84,OK
Oregon,123,97,34,154,OR
Pennsylvania,595,2430,118,845,PA
Rhode Island,58,213,33,24,RI
South Carolina,330,510,58,183,SC
South Dakota,250.88,13,70.7619047619048,318.553191489362,SD
Tennessee,500,827,67,369,TN
Texas,459,358,111,668,TX
Utah,279,83,40,156,UT
Vermont,20,106,70.7619047619048,68,VT
Virginia,252,852,93,532,VA
Washington,216,221,94,328,WA
West Virginia,214,551,27,195,WV
Wisconsin,251,506,56,327,WI
Wyoming,27,10,70.7619047619048,318.553191489362,WY
